Company,Change,Open,High,Low,Volume,Market Cap
AFFIRM HOLDINGS INC.,61.07,-1.66%,62.72,63.09,60.02,"4,230,532"
AFYA LTD.,16.15,-4.10%,15.96,16.36,15.78,"140,092"
AGAPE ATP CORP.,1.40,-2.10%,1.43,1.44,1.37,"124,672"
AGENUS INC.,3.80,+7.34%,3.66,4.10,3.55,"687,855"
AGILYSYS INC.,90.22,-1.68%,92.43,92.68,89.76,"312,000"
AGIOS PHARMACEUTICALS INC.,34.39,-0.43%,34.60,35.08,33.65,"660,651"
AGM GROUP HOLDINGS INC.,0.8900,+2.29%,0.8890,0.8935,0.8730,"73,207"
AGNC INVESTMENT,25.62,-1.00%,25.81,25.95,25.62,"184,592"
AGNC INVESTMENT,25.26,-0.59%,25.42,25.45,25.23,"51,231"
AGNC INVESTMENT,9.97,-1.09%,9.97,10.06,9.91,"29,666,195"
AGNC INVESTMENT,24.29,-1.62%,24.62,24.68,24.25,"82,580"
AGNC INVESTMENT,25.05,-1.07%,25.28,25.28,25.01,"83,455"
AGNC INVESTMENT,24.73,+0.12%,24.75,24.93,24.73,"101,691"
AGORA INC. ADS,5.59,-7.60%,5.99,5.99,5.36,"1,696,807"
AGRICULTURE & NATURAL SOLUTIONS ACQUISI,10.65,+0.00%,10.80,10.85,10.65,"1,209"
AGRICULTURE & NATURAL SOLUTIONS ACQUISI,10.52,-0.09%,10.52,10.53,10.52,"8,264"
AGRIFORCE  GROWING SYSTEMS,2.34,-2.50%,2.41,2.44,2.29,"83,733"
AGRIFY CORP.,23.71,+16.97%,20.76,25.72,20.76,"42,831"
AI TRANSPORTATION ACQUISITION CORP,10.83,+0.00%,10.83,10.83,10.83,647
AI TRANSPORTATION ACQUISITION CORP RIGH,0.1200,+0.00%,0.1225,0.1225,0.1200,784
AI TRANSPORTATION ACQUISITION CORP UNIT,10.93,+0.00%,10.93,10.93,10.93,210
AIMEI HEALTH TECHNOLOGY CO. LTD ORD.,10.75,+0.09%,10.73,10.75,10.72,"2,520"
AIMEI HEALTH TECHNOLOGY CO. LTD RIGHT,0.2500,+0.00%,0.2300,0.2500,0.2300,"5,000"
AIMEI HEALTH TECHNOLOGY CO. LTD UNIT,10.75,+0.00%,11.20,11.20,10.75,322
